region_id,sheet_number,sheet_name,scope,bid_item,subheading,text,text_frequency,frequency_flag,ocr_hints,llm_region_type,llm_identified_content,llm_association_strength,llm_direct_bid_item_evidence,final_validation,llm_confidence,llm_reason,needs_manual_review,medium_path,local_path,locator_path
region_000205,A-005,Bldg Types Roof Plan,Membrane Roofing,Furnish & Install Self-Adhered Single-Ply Roofing Membrane,Others,G. ROOF MEMBRANE TO BE 80 MIL MINIMUM THICKNESS UNLESS NOTED OTHERWISE.,1,False,[],SPECIFICATION_TEXT,G. ROOF MEMBRANE TO BE 80 MIL MINIMUM THICKNESS UNLESS NOTED OTHERWISE.,INDIRECT,No direct evidence; region is a general specification note about roof membrane thickness and does not explicitly identify the bid item (Furnish & Install Self-Adhered Single-Ply Roofing Membrane).,WRONG,MEDIUM,"The region contains a general specification note about roof membranes and thickness. It does not explicitly identify or label the bid item (self-adhered single-ply membrane) or its installation work. This is a SPECIFICATION_TEXT/GENERAL_NOTE, which by rule does not directly establish the bid item, even though it mentions membranes. Therefore, the association is INDIRECT at best, and the correct decision is WRONG.",True,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/medium/region_000205.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/local/region_000205.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/locator/region_000205.png
region_000209,A-005,Bldg Types Roof Plan,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,Metal Framing,A1,16,True,"[""SHORT_TAG""]",GRID_REFERENCE,A1 grid reference bubble,NONE,No direct evidence linking to wall partition assemblies; region only shows a grid reference label (A1).,WRONG,HIGH,"The highlighted region visibly contains a grid reference bubble labeled 'A1' along the grid line. This is a grid reference indicator, not a bid item or a direct indication of wall partition assemblies (metal framing). Special rule for grid references states this is not a bid item and should not be considered direct evidence for the bid item. Therefore, the region does not directly reference the original bid item.",True,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/medium/region_000209.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/local/region_000209.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/locator/region_000209.png
region_000210,A-005,Bldg Types Roof Plan,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,Metal Framing,A1,16,True,"[""SHORT_TAG""]",GRID_REFERENCE,A1,NONE,Region contains a circular blue tag labeled 'A1' which is a grid reference marker. Grid references are not bid items and do not directly identify wall partition assemblies or metal framing.,WRONG,HIGH,The highlighted region is a grid reference bubble ('A1'). Grid references do not constitute a bid item or directly reference wall partition assemblies; there is no direct evidence linking this region to the original bid item.,True,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/medium/region_000210.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/local/region_000210.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/locator/region_000210.png
region_000211,A-005,Bldg Types Roof Plan,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,Metal Framing,A4,16,True,"[""SHORT_TAG""]",GRID_REFERENCE,"Grid reference bubbles labeled A2, A3, A4 with dashed connecting lines visible along the region.",NONE,NONE,WRONG,HIGH,"The highlighted region shows grid reference callouts (A2, A3, A4) rather than any finishes, materials, or components. There is no direct evidence identifying or referencing the bid item 'Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags' (Metal Framing). Grid references are not bid items themselves, so this region does not directly associate to the bid item. No indirect justification is present that would convert this into a direct association.",True,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/medium/region_000211.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/local/region_000211.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/locator/region_000211.png
region_000212,A-005,Bldg Types Roof Plan,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,Metal Framing,A4,16,True,"[""SHORT_TAG""]",GRID_REFERENCE,A4,NONE,No direct bid-item evidence; region shows grid reference A4,WRONG,HIGH,"The highlighted region contains a grid bubble/label 'A4' with dashed grid lines, indicating plan geometry location on the roof plan sheet. This is a grid reference, not a wall partition assembly reference. There is no label, tag, schedule, or detail in this region that directly identifies or locates the original bid item (Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags). Therefore, there is NO DIRECT association to the bid item.",True,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/medium/region_000212.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/local/region_000212.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/locator/region_000212.png
region_000213,A-005,Bldg Types Roof Plan,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,Metal Framing,AX,16,True,"[""SHORT_TAG""]",PLAN_GEOMETRY,"Plan fragment showing a corridor/partition wall arrangement with door openings. The view includes walls with grey fill, a central vertical core, and multiple blue circular tags (e.g., FX, CX) along lines, but no explicit wall-type label or wall-type schedule reference visible within this cropped region.",NONE,No direct evidence of Wall Type S or an explicit wall-partition assembly tag/schedule within this region. Finish tags (FX/CX) alone do not constitute a direct reference to the bid item.,WRONG,HIGH,"The region is a plan geometry fragment of walls and openings and shows finish tags, but it does not visibly identify a specific wall partition assembly or map to Wall Type S schedules/tags. There is no explicit bid item reference within the region itself, so no direct association with 'Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags' can be established. Relying on nearby features or OCR is not allowed for a direct association.",True,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/medium/region_000213.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/local/region_000213.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/locator/region_000213.png
region_000214,A-005,Bldg Types Roof Plan,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,Metal Framing,AX,16,True,"[""SHORT_TAG""]",GRID_REFERENCE,AX,NONE,"No direct bid item evidence. The region shows a blue circle with AX connected by a leader, which corresponds to a grid/axis reference used for location on the plan, not to the wall partition work.",WRONG,HIGH,"The highlighted region contains a grid/reference label (AX) rather than a finish, wall type tag, or explicit partition-related annotation. Grid references do not directly identify or reference the Bid Item (Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags). Therefore, there is no direct evidence linking this region to the bid item.",True,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/medium/region_000214.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/local/region_000214.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/locator/region_000214.png
region_000215,A-005,Bldg Types Roof Plan,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,Metal Framing,AV,16,True,"[""SHORT_TAG""]",PLAN_GEOMETRY,"Small enclosed core/shaft feature within the roof plan vicinity (central area). No visible wall partition tag, wall type label, finish tag, or partition-related schedule explicit to a bid item.",NONE,"No direct evidence of a wall partition assembly tag or wall type schedule in this region. No labeling such as a partition wall type (e.g., W-xx) or associated schedule visible in the highlighted area.",WRONG,HIGH,"Direct association requires the region itself to identify the wall partition work (material/work, finish, or a schedule/detail entry explicitly tied to the bid item). The highlighted region on the roof plan shows geometry of a core/shaft with no partition tags or wall-type references. OCR hints (e.g., 'AV') do not establish a direct connection to 'Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags'. Therefore, there is NO direct evidence linking this region to the bid item, and the association is WRONG.",True,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/medium/region_000215.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/local/region_000215.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/locator/region_000215.png
region_000216,A-005,Bldg Types Roof Plan,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,Metal Framing,AV,16,True,"[""SHORT_TAG""]",EQUIPMENT_TAG,AV,NONE,"The highlighted region shows a circular equipment tag labeled 'AV' connected by a leader line to a location on the Roof Plan. There is no visible tag, note, or schedule explicitly referencing wall partitions, metal framing, or a Wall Type Schedule/Tags in this region. No depiction of partition assemblies or related finish/work is shown directly in this region.",WRONG,HIGH,"Direct evidence tying the region to the bid item (Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags, Metal Framing) is not present. The region is an equipment tag on a Roof Plan, not a wall partition detail, tag, or schedule that explicitly identifies or references the bid item.",True,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/medium/region_000216.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/local/region_000216.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/locator/region_000216.png
region_000217,A-005,Bldg Types Roof Plan,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,Metal Framing,AZ,16,True,"[""SHORT_TAG""]",PLAN_GEOMETRY,"Roof plan region showing central architectural/structural feature; no wall partitions, wall type tags, or finish/tag schedules visible within the highlighted area.",NONE,NONE,WRONG,HIGH,"The highlighted region resides on a roof plan (Plan Geometry) and does not display any direct reference to wall partition assemblies, metal framing, or wall-type schedules/tags. There is no finish/tag indication, room label, schedule entry, or detail that explicitly identifies a wall partition work. The bid item specifies Furnish & Install Wall Partition Assemblies per wall type schedules and tags, which would require direct labeling or tagging in this region. OCR hints are unreliable here, and the image evidence shows only general plan geometry, not the specific bid-item evidence, so the association is not direct.",True,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/medium/region_000217.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/local/region_000217.png,/Users/udaykumarreddy/Documents/Wire/audit_output/crops/locator/region_000217.png
