sheet_number,scope_key,bid_item
A-005,Thermal Protection,Furnish & Install Tapered Rigid Insulation
A-005,Wall Finishes,Furnish & Install Wall Base
A-005,Precast Concrete,Furnish & Install Precast Concrete Stair Treads
A-101CD,Wall Finishes,Furnish & Install Wall Finishes Per Finish Schedule And Elevations
A-101CD,Rough Carpentry,Furnish & Install Wood Blocking and Backing
A-101CD,"Doors, Frames & Hardware",Furnish & Install Layout For Undimensioned Door Rough Openings
A-101CD,Precast Concrete,Furnish & Install Precast Concrete Stair Treads
A-153E,Rough Carpentry,Furnish & Install Wood Blocking and Backing
A-153E,Drywall,Furnish & Install Framing And Sealing For Ceiling Penetrations And Box Outs
A-153E,Drywall,Furnish & Install Framing For Soffits
A-153E,Drywall,Furnish & Install Seismic Bracing For Walls And Ceilings
A-203,Electrical,Furnish & Install Exterior Lighting Above Doors
A-203,Signage,Furnish & Install Building Address Signage
A-351,Flashing and Sheet Metal,Furnish & Install Self-Adhered and Flexible Flashing Membrane
A-351,Flashing and Sheet Metal,Furnish & Install Continuous Flexible Silicone Membrane Flashing
A-351,Dampproofing and Waterproofing,Furnish & Install Fluid-Applied Waterproofing
A-421,Rough Carpentry,Furnish & Install Wood Blocking and Backing
A-421,"Doors, Frames & Hardware",Furnish & Install Coordination For Reversed Door Handings In Mirrored Units
A-421,Flooring,Furnish & Install Carpet
