region_id,sheet_number,bid_item,text,llm_region_type,llm_association_strength,final_validation,llm_confidence,llm_reason
region_000204,A-005,Furnish & Install Self-Adhered Single-Ply Roofing Membrane,"F. WHERE ROOF TO VERTICAL WALL INTERSECTIONS OCCUR, RUN MEMBRANE MINIMUM 8"" UP WALL. REFER TO DETAILS FOR TERMINATION.",GENERAL_NOTE,DIRECT,RIGHT,HIGH,"The highlighted region contains a general roof-plan note that directly references membrane installation (RUN MEMBRANE) on the roof. This directly identifies the material/work (roofing membrane) to be furnished/installed and is located on the roof plan, providing explicit evidence tying it to the bid item rather than relying on indirect associations."
region_000205,A-005,Furnish & Install Self-Adhered Single-Ply Roofing Membrane,G. ROOF MEMBRANE TO BE 80 MIL MINIMUM THICKNESS UNLESS NOTED OTHERWISE.,SPECIFICATION_TEXT,INDIRECT,WRONG,MEDIUM,"The region contains a general specification note about roof membranes and thickness. It does not explicitly identify or label the bid item (self-adhered single-ply membrane) or its installation work. This is a SPECIFICATION_TEXT/GENERAL_NOTE, which by rule does not directly establish the bid item, even though it mentions membranes. Therefore, the association is INDIRECT at best, and the correct decision is WRONG."
region_000206,A-005,Furnish & Install Tapered Rigid Insulation,"D. PROVIDE BUILT-UP TAPERED INSULATION ROOF CRICKETS AT ALL LOCATIONS OF CURBS, ROOFTOP EQUIPMENT, ETC. TO ALLOW POSITIVE DRAINAGE AND PREVENT PONDING.",GENERAL_NOTE,NONE,WRONG,HIGH,"The highlighted general-note text discusses built-up tapered insulation crickets for drainage but does not directly identify or reference the bid item. The exact bid item specifies tapered rigid insulation; the region uses ""BUILT-UP"" insulation and does not explicitly reference rigid insulation or a specific installation action for the bid item. Therefore, there is no direct evidence linking this region to the original bid item."
region_000207,A-005,Furnish & Install Tapered Rigid Insulation,"E. TAPERED INSULATION SLOPE TO BE 1/4"" PER FOOT MINIMUM. SLOPE AS INDICATED ON PLANS.",GENERAL_NOTE,NONE,WRONG,HIGH,"The region visibly contains a general roof-note about tapered insulation slope, not an explicit reference to the bid item 'Furnish & Install Tapered Rigid Insulation'. There is no direct identification of the bid item (no text like 'Furnish & Install', 'Rigid Insulation', or a detail/schedule explicitly tied to the bid item). Per the guidelines, a general note or specification text does not constitute a DIRECT association to the bid item. Therefore, the association is NONE/INDIRECT at best, and the correct decision is WRONG."
region_000208,A-005,Furnish & Install Tapered Rigid Insulation,"H. SLOPE ALL CRICKETS AS SHOWN AT A MINIMUM OF 1/4"" PER FOOT, UNLESS NOTED OTHERWISE.",GENERAL_NOTE,NONE,WRONG,HIGH,"The highlighted region is a general notes block on the roof plans. It does not directly identify or label the bid item 'Furnish & Install Tapered Rigid Insulation' (no explicit reference to 'Rigid Insulation' or installation of that material). It only provides general guidance about tapered insulation in notes, which is indirect at best and does not constitute direct evidence of the bid item per the required criteria."
region_000209,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A1,GRID_REFERENCE,NONE,WRONG,HIGH,"The highlighted region visibly contains a grid reference bubble labeled 'A1' along the grid line. This is a grid reference indicator, not a bid item or a direct indication of wall partition assemblies (metal framing). Special rule for grid references states this is not a bid item and should not be considered direct evidence for the bid item. Therefore, the region does not directly reference the original bid item."
region_000210,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A1,GRID_REFERENCE,NONE,WRONG,HIGH,The highlighted region is a grid reference bubble ('A1'). Grid references do not constitute a bid item or directly reference wall partition assemblies; there is no direct evidence linking this region to the original bid item.
region_000211,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A4,GRID_REFERENCE,NONE,WRONG,HIGH,"The highlighted region shows grid reference callouts (A2, A3, A4) rather than any finishes, materials, or components. There is no direct evidence identifying or referencing the bid item 'Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags' (Metal Framing). Grid references are not bid items themselves, so this region does not directly associate to the bid item. No indirect justification is present that would convert this into a direct association."
region_000212,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A4,GRID_REFERENCE,NONE,WRONG,HIGH,"The highlighted region contains a grid bubble/label 'A4' with dashed grid lines, indicating plan geometry location on the roof plan sheet. This is a grid reference, not a wall partition assembly reference. There is no label, tag, schedule, or detail in this region that directly identifies or locates the original bid item (Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags). Therefore, there is NO DIRECT association to the bid item."
region_000213,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AX,PLAN_GEOMETRY,NONE,WRONG,HIGH,"The region is a plan geometry fragment of walls and openings and shows finish tags, but it does not visibly identify a specific wall partition assembly or map to Wall Type S schedules/tags. There is no explicit bid item reference within the region itself, so no direct association with 'Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags' can be established. Relying on nearby features or OCR is not allowed for a direct association."
region_000214,A-005,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AX,GRID_REFERENCE,NONE,WRONG,HIGH,"The highlighted region contains a grid/reference label (AX) rather than a finish, wall type tag, or explicit partition-related annotation. Grid references do not directly identify or reference the Bid Item (Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags). Therefore, there is no direct evidence linking this region to the bid item."
